Date,Return,RollingVolatility
2024-05-20 04:00:00+00:00,0.004884698398273324,0.026248854837854843
2024-05-21 04:00:00+00:00,0.005256613158489687,0.026209983158803556
2024-05-22 04:00:00+00:00,-0.008265392184425124,0.02640833907625437
2024-05-23 04:00:00+00:00,-0.016044903050232318,0.0262385845486108
2024-05-24 04:00:00+00:00,0.008297320656871277,0.013214069235050136
2024-05-28 04:00:00+00:00,0.008057603291616644,0.010455956028425101
2024-05-29 04:00:00+00:00,-0.0028344671201814275,0.009038529963313006
2024-05-30 04:00:00+00:00,-0.021546333143831697,0.01064691811191534
2024-05-31 04:00:00+00:00,0.002265992679100437,0.010099115138153805
2024-06-03 04:00:00+00:00,0.003884057971014432,0.010100826256082959
2024-06-04 04:00:00+00:00,0.003580296818155526,0.010079577035504314
2024-06-05 04:00:00+00:00,0.009321595028482621,0.009442233781768962
2024-06-06 04:00:00+00:00,0.007525226611937663,0.009085762146965284
2024-06-07 04:00:00+00:00,-0.012844451988909489,0.009676218122780047
2024-06-10 04:00:00+00:00,0.0031525851197982124,0.009442952293424801
2024-06-11 04:00:00+00:00,0.00919947431575352,0.009582244623255983
2024-06-12 04:00:00+00:00,0.00662439134865811,0.00957019519333243
2024-06-13 04:00:00+00:00,-0.014792732999606262,0.00994514226122824
2024-06-14 04:00:00+00:00,0.009305777574788676,0.009927884101129091
2024-06-17 04:00:00+00:00,0.002545392838961602,0.00965816577882402
2024-06-18 04:00:00+00:00,-0.012130444594899648,0.009984250612425662
2024-06-20 04:00:00+00:00,0.006910731623736455,0.010040893371500818
2024-06-21 04:00:00+00:00,0.0188882586500283,0.01073190728340812
2024-06-24 04:00:00+00:00,-0.0022824695206813406,0.009999873434086983
2024-06-25 04:00:00+00:00,0.026838522486329675,0.011408217084730346
2024-06-26 04:00:00+00:00,-0.0008150844970928883,0.011356538536836932
2024-06-27 04:00:00+00:00,0.008320643898194424,0.011373296749244269
2024-06-28 04:00:00+00:00,-0.017582654657246066,0.010955462043503948
2024-07-01 04:00:00+00:00,0.004611583859456481,0.010960919091551245
2024-07-02 04:00:00+00:00,0.012295753866331527,0.011155752720688519
2024-07-03 04:00:00+00:00,0.0031310732023319687,0.011155894091728293
2024-07-05 04:00:00+00:00,0.025723818749327387,0.012170056833914054
2024-07-08 04:00:00+00:00,-0.008237145855194083,0.012452613341188164
2024-07-09 04:00:00+00:00,-0.00026450827910917685,0.011891686556922491
2024-07-10 04:00:00+00:00,0.011641443538998875,0.01200806214118421
2024-07-11 04:00:00+00:00,-0.02934407364787117,0.014120665726402632
2024-07-12 04:00:00+00:00,-0.002694401034650018,0.014133561627290365
2024-07-15 04:00:00+00:00,0.007888906900091808,0.0136066166041176
2024-07-16 04:00:00+00:00,-0.013992387283546903,0.014049850557154398
2024-07-17 04:00:00+00:00,-0.0157677250978685,0.014603270404253101
2024-07-18 04:00:00+00:00,-0.018395757374875754,0.014966007016924148
2024-07-19 04:00:00+00:00,-0.0001688333614722204,0.01489852813028572
2024-07-22 04:00:00+00:00,0.02257120342226715,0.015158398648540438
2024-07-23 04:00:00+00:00,0.0006605383387461305,0.015142465491198425
2024-07-24 04:00:00+00:00,-0.050387810110567144,0.017776142319023754
2024-07-25 04:00:00+00:00,-0.030991137114058986,0.018826916966719294
2024-07-26 04:00:00+00:00,-0.0016738402678144748,0.018598593754797933
2024-07-29 04:00:00+00:00,0.015149700598802385,0.01887571191667658
2024-07-30 04:00:00+00:00,0.004482982363003485,0.018872856423771813
2024-07-31 04:00:00+00:00,0.007340419284749489,0.01868731232316835
2024-08-01 04:00:00+00:00,-0.004547044421126301,0.018619061783281276
2024-08-02 04:00:00+00:00,-0.024010306863433972,0.017733333277846142
2024-08-05 04:00:00+00:00,-0.04446177847113886,0.019661261685087403
2024-08-06 04:00:00+00:00,-0.006028257456828889,0.019578605126928442
2024-08-07 04:00:00+00:00,0.004106387011181933,0.019237384799950415
2024-08-08 04:00:00+00:00,0.019441298603246615,0.019613062394618706
2024-08-09 04:00:00+00:00,0.01012158242300809,0.01995290252050348
2024-08-12 04:00:00+00:00,-0.008431600171075915,0.019689865108711856
2024-08-13 04:00:00+00:00,0.011522583030377787,0.020019680330651435
2024-08-14 04:00:00+00:00,-0.023087231968810906,0.020282945961955647
2024-08-15 04:00:00+00:00,0.005799089605287744,0.020216043894826376
2024-08-16 04:00:00+00:00,0.010291382517048975,0.020471220770599468
2024-08-19 04:00:00+00:00,0.022766323024054902,0.020484645863159047
2024-08-20 04:00:00+00:00,0.003059938801224016,0.020520968179529687
2024-08-21 04:00:00+00:00,-0.007955497069027428,0.017430948393675563
2024-08-22 04:00:00+00:00,-0.012360566777208204,0.016249741930673026
2024-08-23 04:00:00+00:00,0.011111111111111072,0.016468678277761644
2024-08-26 04:00:00+00:00,0.0032604757879481916,0.016092520581243788
2024-08-27 04:00:00+00:00,-0.008907077515647455,0.016136182570236877
2024-08-28 04:00:00+00:00,-0.01111246052951187,0.016128733199425368
2024-08-29 04:00:00+00:00,-0.006570463616825228,0.01614877419865428
2024-08-30 04:00:00+00:00,0.009889974038818083,0.015548110022589394
2024-09-03 04:00:00+00:00,-0.036846615252784765,0.014481231405879962
2024-09-04 04:00:00+00:00,-0.0057829181494662985,0.014476401950267455
2024-09-05 04:00:00+00:00,0.005049536593160875,0.014493668957234057
2024-09-06 04:00:00+00:00,-0.04019333502925482,0.016220293540999752
2024-09-09 04:00:00+00:00,-0.01464351974556044,0.016076867924885854
2024-09-10 04:00:00+00:00,-0.0003362248671912038,0.016078742757875332
