Date,close,high,low,trade_count,open,volume,vwap,symbol
2024-04-22 04:00:00+00:00,161.92,162.7,158.4403,99997,159.95,6779221,161.499729,CVX
2024-04-23 04:00:00+00:00,162.85,162.85,160.6,84771,161.31,5597617,162.218797,CVX
2024-04-24 04:00:00+00:00,163.57,163.84,161.446,105740,161.88,7610335,163.123622,CVX
2024-04-25 04:00:00+00:00,165.28,165.6,162.67,149803,163.7,9702581,164.469947,CVX
2024-04-26 04:00:00+00:00,165.89,166.98,163.3,146131,165.23,9736350,165.062446,CVX
2024-04-29 04:00:00+00:00,166.33,167.11,164.69,97832,165.91,6366752,166.11826,CVX
2024-04-30 04:00:00+00:00,161.27,166.12,160.95,114261,165.97,8457341,162.614876,CVX
2024-05-01 04:00:00+00:00,159.63,161.45,158.9,137060,160.78,7714962,159.834733,CVX
2024-05-02 04:00:00+00:00,160.73,161.775,159.89,128214,160.41,8597124,160.940438,CVX
2024-05-03 04:00:00+00:00,160.25,160.66,157.04,167349,160.66,11664505,159.213499,CVX
2024-05-06 04:00:00+00:00,162.3,164.02,160.73,122265,160.73,8430277,162.556056,CVX
2024-05-07 04:00:00+00:00,162.67,163.15,162.02,93561,162.31,6869948,162.676285,CVX
2024-05-08 04:00:00+00:00,162.54,163.08,161.5367,98307,161.95,6706361,162.435826,CVX
2024-05-09 04:00:00+00:00,165.45,165.51,162.73,81692,163.02,6683313,164.751412,CVX
2024-05-10 04:00:00+00:00,165.82,166.42,165.0153,81461,166.04,5490944,165.696549,CVX
2024-05-13 04:00:00+00:00,164.53,166.91,162.98,106209,166.48,6848303,164.514218,CVX
2024-05-14 04:00:00+00:00,163.61,165.2,163.02,86558,164.34,4923968,163.738998,CVX
2024-05-15 04:00:00+00:00,163.05,163.8,160.17,120558,163.13,7603063,162.512529,CVX
2024-05-16 04:00:00+00:00,161.09,162.0,160.48,94559,161.53,6409418,161.163089,CVX
2024-05-17 04:00:00+00:00,162.67,162.9679,161.19,91490,161.75,5497919,162.332231,CVX
2024-05-20 04:00:00+00:00,161.14,163.0,161.075,82835,162.72,4913820,161.58133,CVX
2024-05-21 04:00:00+00:00,159.97,161.46,159.74,77706,160.58,4783287,160.315369,CVX
2024-05-22 04:00:00+00:00,157.57,159.52,156.52,102322,159.52,6260509,157.691957,CVX
2024-05-23 04:00:00+00:00,156.94,158.6,156.33,107079,157.92,6718378,157.183145,CVX
2024-05-24 04:00:00+00:00,157.75,158.97,157.3,73435,158.08,4477720,157.906263,CVX
2024-05-28 04:00:00+00:00,159.04,159.42,157.95,125122,158.12,6928298,158.833871,CVX
2024-05-29 04:00:00+00:00,156.9,158.49,156.44,95763,158.02,5909632,156.98834,CVX
2024-05-30 04:00:00+00:00,158.26,158.455,156.81,94554,156.85,6371243,158.002742,CVX
2024-05-31 04:00:00+00:00,162.3,162.58,158.51,112719,158.63,10334227,161.314572,CVX
2024-06-03 04:00:00+00:00,157.46,161.68,156.46,133593,161.49,9009935,158.094728,CVX
2024-06-04 04:00:00+00:00,156.13,156.35,154.11,102242,155.72,6360542,155.528594,CVX
2024-06-05 04:00:00+00:00,154.98,157.02,154.53,110267,156.16,7058506,155.750806,CVX
2024-06-06 04:00:00+00:00,155.93,156.02,153.39,89756,154.5,5215140,155.350643,CVX
2024-06-07 04:00:00+00:00,156.08,157.69,155.13,94494,155.71,5887651,156.520573,CVX
2024-06-10 04:00:00+00:00,156.74,158.2,156.32,116229,156.41,7075943,157.214996,CVX
2024-06-11 04:00:00+00:00,156.49,156.75,154.48,99154,156.17,5132009,156.040171,CVX
2024-06-12 04:00:00+00:00,154.22,157.625,152.4,135464,157.49,10017421,154.242921,CVX
2024-06-13 04:00:00+00:00,152.84,154.09,152.23,97217,153.77,6163015,153.09367,CVX
2024-06-14 04:00:00+00:00,152.57,153.295,151.97,95942,153.13,6159138,152.569856,CVX
2024-06-17 04:00:00+00:00,153.19,153.93,151.93,96585,152.5,6321386,153.119237,CVX
2024-06-18 04:00:00+00:00,153.33,155.95,152.84,103580,153.55,6942882,153.664208,CVX
2024-06-20 04:00:00+00:00,156.64,157.41,153.25,114671,153.71,8336031,156.312096,CVX
2024-06-21 04:00:00+00:00,155.28,157.665,155.22,99959,156.8,21292090,155.75268,CVX
2024-06-24 04:00:00+00:00,159.31,159.54,156.19,109931,156.27,7971620,158.739907,CVX
2024-06-25 04:00:00+00:00,158.46,159.36,157.67,80765,159.12,6056711,158.552692,CVX
2024-06-26 04:00:00+00:00,155.95,158.46,155.79,100752,158.46,8637756,156.283988,CVX
2024-06-27 04:00:00+00:00,156.32,156.94,155.635,83781,156.7,5568733,156.189693,CVX
2024-06-28 04:00:00+00:00,156.42,158.58,156.17,108311,157.52,11262848,156.795359,CVX
2024-07-01 04:00:00+00:00,156.52,158.7,155.98,87944,157.16,5584116,156.903141,CVX
2024-07-02 04:00:00+00:00,156.75,157.72,155.45,104528,157.68,7216801,156.365159,CVX
2024-07-03 04:00:00+00:00,156.71,157.74,156.5641,58873,156.94,3264196,157.032404,CVX
2024-07-05 04:00:00+00:00,154.31,156.55,153.68,93949,156.55,6183056,154.385289,CVX
2024-07-08 04:00:00+00:00,154.33,155.28,153.32,84414,153.32,4990726,154.209547,CVX
2024-07-09 04:00:00+00:00,152.98,154.76,152.3481,81502,153.0,5303129,153.568713,CVX
2024-07-10 04:00:00+00:00,155.13,155.44,152.3,77872,152.5,5416594,154.344837,CVX
2024-07-11 04:00:00+00:00,155.26,156.68,154.22,101446,155.0,8324076,155.483077,CVX
2024-07-12 04:00:00+00:00,155.59,156.44,154.56,81342,156.16,6446316,155.464899,CVX
2024-07-15 04:00:00+00:00,158.04,159.52,156.3705,91221,156.95,5661170,158.255851,CVX
2024-07-16 04:00:00+00:00,157.77,158.31,156.15,96610,157.01,6924187,157.516622,CVX
2024-07-17 04:00:00+00:00,161.23,161.48,158.29,109361,158.5,7296622,160.707913,CVX
2024-07-18 04:00:00+00:00,161.97,164.28,160.24,105554,161.23,6577674,162.537694,CVX
2024-07-19 04:00:00+00:00,159.15,162.7,158.41,86600,162.48,6427723,160.20928,CVX
2024-07-22 04:00:00+00:00,156.99,158.98,156.855,87841,158.22,5577286,157.606244,CVX
2024-07-23 04:00:00+00:00,154.09,156.5969,153.84,94167,156.35,6238721,154.625077,CVX
2024-07-24 04:00:00+00:00,155.07,155.7,153.42,91642,154.69,5971731,154.91609,CVX
2024-07-25 04:00:00+00:00,157.54,158.26,154.62,91163,155.37,5432141,157.018174,CVX
2024-07-26 04:00:00+00:00,157.84,159.04,157.06,86468,157.73,5232519,158.082396,CVX
2024-07-29 04:00:00+00:00,156.6,158.25,154.86,87185,158.25,5071988,156.167954,CVX
2024-07-30 04:00:00+00:00,159.57,160.09,156.435,88107,156.46,5740861,158.866163,CVX
2024-07-31 04:00:00+00:00,160.47,161.69,160.05,95391,161.69,6209200,160.673787,CVX
2024-08-01 04:00:00+00:00,152.62,159.5,152.03,227901,158.71,16689945,154.281092,CVX
2024-08-02 04:00:00+00:00,148.55,152.04,147.02,190606,151.13,13278618,148.657406,CVX
2024-08-05 04:00:00+00:00,144.66,145.77,143.41,180135,145.52,13037190,144.626064,CVX
2024-08-06 04:00:00+00:00,143.23,145.09,143.12,151309,144.49,9692659,143.873495,CVX
2024-08-07 04:00:00+00:00,142.41,145.725,142.28,124514,144.58,8867862,143.886843,CVX
2024-08-08 04:00:00+00:00,144.49,144.82,142.71,119726,143.075,7531112,144.256172,CVX
2024-08-09 04:00:00+00:00,144.99,146.11,143.19,110780,144.21,7653053,144.793563,CVX
2024-08-12 04:00:00+00:00,145.02,146.7381,139.69,127371,145.84,8442174,144.913141,CVX
2024-08-13 04:00:00+00:00,144.15,144.55,143.05,121691,144.08,7794816,143.916326,CVX
2024-08-14 04:00:00+00:00,144.67,145.24,143.43,88245,144.39,5874216,144.414747,CVX
2024-08-15 04:00:00+00:00,146.8,147.52,145.48,101756,145.59,6304232,146.773626,CVX
2024-08-16 04:00:00+00:00,147.27,147.62,145.64,91386,146.05,6874416,146.986078,CVX
2024-08-19 04:00:00+00:00,146.83,147.73,145.89,92487,146.01,5967406,146.744813,CVX
2024-08-20 04:00:00+00:00,144.69,146.51,144.56,109383,146.33,7497606,145.287303,CVX
2024-08-21 04:00:00+00:00,145.32,146.64,144.55,88372,145.43,5984993,145.551993,CVX
2024-08-22 04:00:00+00:00,145.73,146.3343,145.13,76786,145.35,4026998,145.738322,CVX
2024-08-23 04:00:00+00:00,147.62,148.0937,146.3152,77259,146.525,4824078,147.529129,CVX
2024-08-26 04:00:00+00:00,148.5,150.09,147.55,96152,148.97,5780289,148.663249,CVX
2024-08-27 04:00:00+00:00,146.95,149.55,146.74,77201,148.67,5099956,147.350222,CVX
2024-08-28 04:00:00+00:00,146.0,147.14,145.48,86351,146.44,5614416,146.031989,CVX
2024-08-29 04:00:00+00:00,147.42,148.18,145.44,80353,146.46,4466696,147.342588,CVX
2024-08-30 04:00:00+00:00,147.95,148.08,145.7,96873,146.22,6414755,147.21018,CVX
2024-09-03 04:00:00+00:00,144.66,145.77,144.28,136246,145.55,7944740,145.00892,CVX
2024-09-04 04:00:00+00:00,142.07,145.5271,141.67,145125,144.64,9820730,142.990244,CVX
2024-09-05 04:00:00+00:00,140.93,143.17,140.6,162181,143.17,9371051,141.456052,CVX
2024-09-06 04:00:00+00:00,138.56,142.11,137.87,135975,141.065,7836358,139.42668,CVX
2024-09-09 04:00:00+00:00,140.3,142.02,138.54,142735,138.635,9892347,140.77217,CVX
2024-09-10 04:00:00+00:00,138.23,141.08,137.09,136039,140.895,8202480,138.198645,CVX
2024-09-11 04:00:00+00:00,137.88,138.4801,135.3672,145992,138.21,9534010,137.319416,CVX
2024-09-12 04:00:00+00:00,139.21,139.47,137.42,112840,138.23,6593436,138.787659,CVX
2024-09-13 04:00:00+00:00,140.61,141.53,139.7124,97021,139.87,5900747,140.76083,CVX
2024-09-16 04:00:00+00:00,142.09,143.165,141.065,100409,141.69,6864275,141.754246,CVX
2024-09-17 04:00:00+00:00,143.41,144.14,141.74,100093,141.8,7338782,143.344245,CVX
2024-09-18 04:00:00+00:00,143.96,145.6,143.19,97647,143.32,6180252,144.161325,CVX
2024-09-19 04:00:00+00:00,144.99,146.78,144.93,117774,145.81,7247416,145.808031,CVX
2024-09-20 04:00:00+00:00,145.68,145.91,143.44,134670,145.23,23162864,145.351634,CVX
