Datetime,close,high,low,trade_count,open,volume,vwap,symbol
2025-04-21 08:00:00+00:00,364.05,364.05,363.9,168,363.9,2068,363.940541,MSFT
2025-04-21 08:04:00+00:00,365.72,365.72,365.22,63,365.22,901,365.47,MSFT
2025-04-21 08:11:00+00:00,364.44,364.44,364.44,13,364.44,212,364.44,MSFT
2025-04-21 08:31:00+00:00,364.44,364.44,364.38,60,364.38,1726,364.419924,MSFT
2025-04-21 08:41:00+00:00,364.6,364.6,364.54,8,364.54,505,364.5825,MSFT
2025-04-21 08:56:00+00:00,364.2,364.2,364.2,13,364.2,685,364.2,MSFT
2025-04-21 08:57:00+00:00,364.1,364.1,364.1,26,364.1,789,364.1,MSFT
2025-04-21 10:06:00+00:00,364.2,364.2,364.1,29,364.1,922,364.145803,MSFT
2025-04-21 10:13:00+00:00,364.2,364.53,364.2,96,364.53,3547,364.299791,MSFT
2025-04-21 10:28:00+00:00,364.44,364.44,364.44,28,364.44,766,364.44,MSFT
2025-04-21 10:31:00+00:00,364.54,364.54,364.54,5,364.54,229,364.54,MSFT
2025-04-21 10:54:00+00:00,365.5,365.5,365.5,13,365.5,434,365.5,MSFT
2025-04-21 11:00:00+00:00,366.5,366.5,365.73,215,365.73,2578,366.174444,MSFT
2025-04-21 11:04:00+00:00,366.35,366.35,366.34,33,366.34,1603,366.346667,MSFT
2025-04-21 11:13:00+00:00,365.21,365.21,365.21,11,365.21,279,365.21,MSFT
2025-04-21 11:18:00+00:00,365.1,365.1,365.1,17,365.1,326,365.1,MSFT
2025-04-21 11:19:00+00:00,365.0,365.0,365.0,112,365.0,1689,365.0,MSFT
2025-04-21 11:21:00+00:00,364.45,364.5,364.45,153,364.5,1598,364.491667,MSFT
2025-04-21 11:24:00+00:00,364.0,364.0,364.0,39,364.0,798,364.0,MSFT
2025-04-21 11:29:00+00:00,364.58,364.58,364.58,7,364.58,251,364.58,MSFT
2025-04-21 11:32:00+00:00,364.75,364.75,364.75,12,364.75,481,364.75,MSFT
2025-04-21 11:33:00+00:00,364.58,364.58,364.58,17,364.58,1118,364.58,MSFT
2025-04-21 11:36:00+00:00,364.34,364.34,364.29,11,364.29,503,364.307742,MSFT
2025-04-21 11:38:00+00:00,364.2,364.2,364.19,5,364.19,306,364.196667,MSFT
2025-04-21 11:39:00+00:00,363.99,364.25,363.99,25,364.25,1463,364.065,MSFT
2025-04-21 11:42:00+00:00,363.99,363.99,363.99,28,363.99,691,363.99,MSFT
2025-04-21 11:49:00+00:00,363.4,363.51,363.4,36,363.51,610,363.447009,MSFT
2025-04-21 11:52:00+00:00,363.68,363.68,363.68,7,363.68,152,363.68,MSFT
2025-04-21 11:59:00+00:00,363.94,364.0,363.94,36,363.99,1381,363.989449,MSFT
2025-04-21 12:00:00+00:00,364.05,367.0,363.5,1037,366.0,14275,364.934552,MSFT
2025-04-21 12:01:00+00:00,364.0,364.01,364.0,229,364.01,4337,364.000301,MSFT
2025-04-21 12:03:00+00:00,363.541,363.541,363.541,13,363.541,123,363.541,MSFT
2025-04-21 12:09:00+00:00,363.75,363.75,363.75,17,363.75,123,363.75,MSFT
2025-04-21 12:10:00+00:00,363.74,363.74,363.74,34,363.74,380,363.74,MSFT
2025-04-21 12:11:00+00:00,363.5395,363.5395,363.5395,11,363.5395,116,363.5395,MSFT
2025-04-21 12:12:00+00:00,369.067,369.067,369.067,16,369.067,178,369.067,MSFT
2025-04-21 12:13:00+00:00,363.75,363.75,363.75,30,363.75,1609,363.75,MSFT
2025-04-21 12:14:00+00:00,364.0,364.0,363.99,27,363.99,698,363.996843,MSFT
2025-04-21 12:16:00+00:00,364.4834,364.4834,364.4834,30,364.4834,432,364.4834,MSFT
2025-04-21 12:22:00+00:00,364.0112,364.0112,364.0112,16,364.0112,207,364.0112,MSFT
2025-04-21 12:24:00+00:00,364.0,364.0,364.0,12,364.0,536,364.0,MSFT
2025-04-21 12:25:00+00:00,364.0122,364.0122,364.0122,20,364.0122,244,364.0122,MSFT
2025-04-21 12:28:00+00:00,364.49,364.49,364.35,19,364.35,255,364.42,MSFT
2025-04-21 12:30:00+00:00,364.0122,364.0122,364.0122,19,364.0122,534,364.0122,MSFT
2025-04-21 12:32:00+00:00,364.4208,364.4208,364.4208,23,364.4208,303,364.4208,MSFT
2025-04-21 12:33:00+00:00,364.0087,364.0087,364.0087,22,364.0087,208,364.0087,MSFT
2025-04-21 12:39:00+00:00,364.43,364.43,364.0644,43,364.43,1202,364.377771,MSFT
2025-04-21 12:40:00+00:00,364.48,364.48,364.48,21,364.48,208,364.48,MSFT
2025-04-21 12:45:00+00:00,364.6,364.6,364.6,42,364.6,1302,364.6,MSFT
2025-04-21 12:47:00+00:00,364.9189,364.9189,364.9189,24,364.9189,248,364.9189,MSFT
2025-04-21 12:48:00+00:00,364.8928,364.9803,364.8928,19,364.9803,1049,364.966484,MSFT
2025-04-21 12:51:00+00:00,364.24,364.24,364.24,53,364.24,1025,364.24,MSFT
2025-04-21 12:53:00+00:00,364.0829,364.0829,364.0829,25,364.0829,191,364.0829,MSFT
2025-04-21 12:57:00+00:00,364.13,364.13,364.13,12,364.13,246,364.13,MSFT
2025-04-21 13:01:00+00:00,364.15,364.49,364.15,21,364.49,533,364.364773,MSFT
2025-04-21 13:03:00+00:00,364.0,364.1,364.0,158,364.1,2951,364.057447,MSFT
2025-04-21 13:05:00+00:00,363.5349,363.75,363.5349,61,363.75,799,363.62094,MSFT
2025-04-21 13:07:00+00:00,363.4008,363.6,363.4008,110,363.6,1783,363.500088,MSFT
2025-04-21 13:11:00+00:00,363.9,363.9,363.9,20,363.9,459,363.9,MSFT
