Datetime,close,high,low,trade_count,open,volume,vwap,symbol
2025-04-21 08:00:00+00:00,498.91,498.91,498.0,214,498.0,1905,498.621868,META
2025-04-21 08:01:00+00:00,497.5,497.5,497.5,45,497.5,662,497.5,META
2025-04-21 08:04:00+00:00,498.2,498.2,498.1,40,498.1,895,498.133445,META
2025-04-21 08:12:00+00:00,497.5,497.5,497.5,36,497.5,2413,497.5,META
2025-04-21 08:13:00+00:00,497.0,497.0,497.0,22,497.0,1300,497.0,META
2025-04-21 08:15:00+00:00,497.0,497.0,497.0,37,497.0,1704,497.0,META
2025-04-21 08:16:00+00:00,496.6,496.6,496.6,25,496.6,455,496.6,META
2025-04-21 08:17:00+00:00,496.5,496.5,496.5,110,496.5,3547,496.5,META
2025-04-21 08:18:00+00:00,495.59,495.59,495.59,70,495.59,1508,495.59,META
2025-04-21 08:24:00+00:00,496.46,496.46,496.46,5,496.46,112,496.46,META
2025-04-21 08:27:00+00:00,496.5,496.5,496.5,35,496.5,1365,496.5,META
2025-04-21 08:31:00+00:00,497.15,497.15,497.0,22,497.0,732,497.052604,META
2025-04-21 08:39:00+00:00,496.83,496.83,496.83,7,496.83,272,496.83,META
2025-04-21 08:49:00+00:00,496.63,496.63,496.63,6,496.63,127,496.63,META
2025-04-21 08:54:00+00:00,496.11,496.15,496.11,60,496.15,1572,496.123333,META
2025-04-21 08:56:00+00:00,495.6,495.79,495.6,22,495.79,830,495.714,META
2025-04-21 08:58:00+00:00,496.1,496.1,496.1,30,496.1,956,496.1,META
2025-04-21 09:02:00+00:00,495.76,495.76,495.76,15,495.76,311,495.76,META
2025-04-21 09:04:00+00:00,495.59,495.59,495.59,82,495.59,651,495.59,META
2025-04-21 09:05:00+00:00,495.0,495.0,495.0,60,495.0,1137,495.0,META
2025-04-21 09:10:00+00:00,495.0,495.0,495.0,265,495.0,4157,495.0,META
2025-04-21 09:16:00+00:00,495.0,495.0,495.0,18,495.0,441,495.0,META
2025-04-21 09:19:00+00:00,494.31,494.31,494.31,21,494.31,417,494.31,META
2025-04-21 09:20:00+00:00,494.2,494.2,494.2,73,494.2,577,494.2,META
2025-04-21 09:22:00+00:00,494.3,494.3,494.3,11,494.3,183,494.3,META
2025-04-21 09:32:00+00:00,495.32,495.32,495.32,3,495.32,155,495.32,META
2025-04-21 09:38:00+00:00,495.02,495.02,495.02,4,495.02,151,495.02,META
2025-04-21 09:51:00+00:00,494.99,494.99,494.99,9,494.99,187,494.99,META
2025-04-21 09:53:00+00:00,494.75,494.75,494.58,26,494.58,901,494.713333,META
2025-04-21 10:01:00+00:00,495.17,495.17,495.17,15,495.17,299,495.17,META
2025-04-21 10:06:00+00:00,495.75,495.75,495.43,85,495.43,1632,495.554408,META
2025-04-21 10:09:00+00:00,494.82,494.82,494.82,14,494.82,226,494.82,META
2025-04-21 10:22:00+00:00,495.5,495.5,495.39,17,495.39,528,495.445,META
2025-04-21 10:26:00+00:00,495.3,495.3,495.3,3,495.3,318,495.3,META
2025-04-21 10:27:00+00:00,495.2,495.2,495.2,34,495.2,827,495.2,META
2025-04-21 10:28:00+00:00,494.8,494.8,494.8,44,494.8,716,494.8,META
2025-04-21 10:29:00+00:00,494.94,494.94,494.94,21,494.94,372,494.94,META
2025-04-21 10:37:00+00:00,495.08,495.08,495.08,6,495.08,152,495.08,META
2025-04-21 11:00:00+00:00,495.69,495.69,495.07,270,495.23,9144,495.652505,META
2025-04-21 11:02:00+00:00,495.69,495.69,495.69,11,495.69,325,495.69,META
2025-04-21 11:03:00+00:00,495.69,495.69,495.69,26,495.69,1034,495.69,META
2025-04-21 11:04:00+00:00,495.69,495.69,495.69,34,495.69,1330,495.69,META
2025-04-21 11:09:00+00:00,495.5,495.5,495.5,7,495.5,285,495.5,META
2025-04-21 11:10:00+00:00,494.78,495.4,494.78,201,495.4,3971,495.030894,META
2025-04-21 11:11:00+00:00,494.8,494.82,494.8,31,494.82,1184,494.806173,META
2025-04-21 11:12:00+00:00,494.7,494.8,494.7,83,494.8,2764,494.783333,META
2025-04-21 11:15:00+00:00,495.0,495.0,495.0,39,495.0,1312,495.0,META
2025-04-21 11:19:00+00:00,494.7,494.73,494.6,49,494.73,2275,494.676673,META
