Date,Return,Cumulative_Return,Vol_10d,Vol_20d,Vol_30d,Vol_90d,Vol_120d,Vol_252d
2025-04-24 04:00:00+00:00,0.011735121542330251,-0.09895487723954954,0.4114575101388196,0.47523614929846647,0.4066470075413555,0.29487925018628175,0.2713177240485226,0.23936311909625002
2025-04-25 04:00:00+00:00,-0.000552333609500133,-0.0994525547445263,0.25610929639376645,0.47537423749449526,0.40644231438962786,0.29487739579396566,0.27123667907686205,0.23932612920942245
2025-04-28 04:00:00+00:00,0.0005526388505112667,-0.09895487723954943,0.2210075679969963,0.47554610678330406,0.3967650970577354,0.29451910827591027,0.2712347716362887,0.2393272264788455
2025-04-29 04:00:00+00:00,-0.0024855012427505985,-0.10119442601194495,0.2241396320263652,0.4727973207688563,0.3933746587574501,0.29233325139538796,0.2703401251244545,0.2393224193506844
2025-04-30 04:00:00+00:00,-0.025193798449612448,-0.12383875248838827,0.2690706289261678,0.4780921640869666,0.39940962693554755,0.2953134144958368,0.26858885882705297,0.2390389778061014
2025-05-01 04:00:00+00:00,0.0014200511218405154,-0.12259455872594627,0.2653325680756977,0.4786650518434652,0.3960522718236185,0.2942800147634389,0.26855248392450465,0.2385980040132697
2025-05-02 04:00:00+00:00,0.00406504065040636,-0.11902786994027947,0.22869776129738473,0.44552716957977784,0.3960255013559474,0.2939863351140364,0.26736382771108164,0.23837927528576522
2025-05-05 04:00:00+00:00,-0.027681009321156136,-0.14341406768414133,0.2585153476603983,0.3762662615119254,0.40264893586642997,0.2976194599486529,0.2701341270718211,0.23922378517010914
2025-05-06 04:00:00+00:00,0.013944030212065472,-0.13146980756469873,0.2197542933442725,0.37609937846960667,0.4054525821460505,0.2984689402757105,0.2710202610277156,0.23964106587481968
2025-05-07 04:00:00+00:00,-0.0009550186228630686,-0.13229927007299325,0.21792384026376116,0.3670182353470166,0.4044358077040691,0.29846905152629877,0.2709501547180193,0.2396354315071401
2025-05-08 04:00:00+00:00,0.013956600707389244,-0.12018911745189187,0.2222339455945833,0.32467001549274793,0.4042656946369709,0.29938056862945267,0.27181911310208867,0.23996449309765738
2025-05-09 04:00:00+00:00,0.011690393136607913,-0.10990378234903853,0.23314877772672368,0.2506355858380978,0.40659559687572766,0.3000038976909093,0.27203065570956203,0.240214864920821
2025-05-12 04:00:00+00:00,0.017239772621377325,-0.094558725945588,0.2507800300604684,0.23320212208279845,0.410723329022665,0.3010984160324667,0.27311742456595584,0.24084710141155583
2025-05-13 04:00:00+00:00,0.002748259435690681,-0.09207033842070422,0.25035287167720194,0.23319538763531694,0.40933784767667997,0.29981509019690583,0.27279324757347134,0.2400396659431904
2025-05-14 04:00:00+00:00,-0.008953042207198836,-0.10019907100199144,0.21304532417663585,0.2362126573593585,0.40963430156139125,0.30018650836461414,0.27274531688733894,0.24016865460213688
2025-05-15 04:00:00+00:00,0.0009218289085544118,-0.09936960849369691,0.21314690254104868,0.23439776209087385,0.40977141220807733,0.30007755823904864,0.2720661646479284,0.24017126414137968
2025-05-16 04:00:00+00:00,-0.003591821698286979,-0.10260451227604594,0.2152271258685143,0.21710217222137035,0.38150019934375545,0.30013817177735946,0.271233018927745,0.24018816837182144
2025-05-19 04:00:00+00:00,-0.01589795729734722,-0.11687126741871345,0.17401528912982642,0.2182812586709245,0.32063662686599803,0.300935015338751,0.27132392681949036,0.24056490681091433
2025-05-20 04:00:00+00:00,-0.014276321968629602,-0.1294790975447917,0.1822891614608335,0.19864267461866336,0.3209786181878308,0.3005769720800122,0.2720069913315908,0.24090379185764796
2025-05-21 04:00:00+00:00,-0.012291567413053928,-0.14017916390179241,0.19302143039477515,0.20082007840964355,0.31674521623187046,0.30121903272082967,0.27174801288234063,0.24070320640809528
2025-05-22 04:00:00+00:00,-0.006656376615859494,-0.14590245520902523,0.17572220686200146,0.19505338249264478,0.2815162268266373,0.2981876638945468,0.27091676783706214,0.24066124420961307
2025-05-23 04:00:00+00:00,0.0005826939885402727,-0.14540477770404847,0.1578216031079551,0.19525291283347693,0.22874777409030544,0.298099738383297,0.27091552955781323,0.2405758713042713
2025-05-27 04:00:00+00:00,0.00475589634087159,-0.1413404114134048,0.11821227801737233,0.1967014724986362,0.2094537829663686,0.2968762472745549,0.27099490369143286,0.23981623748660894
2025-05-28 04:00:00+00:00,-0.013620556414219442,-0.15303583278035904,0.11567207539698357,0.20074564199796005,0.213107984863103,0.2976645798047203,0.27161706425176363,0.23959980603649864
2025-05-29 04:00:00+00:00,0.0056801488590736415,-0.14822495023225013,0.1307515190352165,0.1845065361667035,0.2136692269581368,0.29740894145198415,0.2717908436082909,0.23967401622582418
2025-05-30 04:00:00+00:00,-0.0037978381536664108,-0.15145985401459916,0.12639625748982056,0.1843986670504165,0.2115123930078759,0.29723360326286413,0.26876891069487263,0.2393447819121488
2025-06-02 04:00:00+00:00,0.007331378299120228,-0.14523888520238948,0.14283434630587483,0.18608796684133866,0.19739192585621088,0.2961960273540115,0.268923050153915,0.23924040203127073
2025-06-03 04:00:00+00:00,0.00727802037845704,-0.1390179163901798,0.13985139181768483,0.16030189935051994,0.1945525889692571,0.29630367527088186,0.2687894083411005,0.23933504868772046
2025-06-04 04:00:00+00:00,-0.014450867052023142,-0.15145985401459916,0.14026501092771002,0.15994433314421785,0.17893834635598865,0.296422822826417,0.2694309662392559,0.23798109193532124
2025-06-05 04:00:00+00:00,-0.004594330400782054,-0.15535832780358394,0.13021079085258203,0.160416945999835,0.1780010666037897,0.29549422543360415,0.26948378536930623,0.23684344317430245
