Date,close,high,low,trade_count,open,volume,vwap,symbol
2024-04-22 04:00:00+00:00,795.18,800.73,764.0,1227187,781.04,59628751,786.685194,NVDA
2024-04-23 04:00:00+00:00,824.23,827.69,802.64,868370,807.69,43855937,819.400522,NVDA
2024-04-24 04:00:00+00:00,796.77,840.82,791.83,1011396,839.5,51220753,813.402416,NVDA
2024-04-25 04:00:00+00:00,826.32,833.2299,782.23,877533,788.6801,42464073,817.445692,NVDA
2024-04-26 04:00:00+00:00,877.35,883.3093,833.87,1062174,838.18,55106478,866.674022,NVDA
2024-04-29 04:00:00+00:00,877.57,879.92,852.66,766266,875.95,38897076,870.227232,NVDA
2024-04-30 04:00:00+00:00,864.02,888.19,863.0,711698,872.4,36370870,873.184751,NVDA
2024-05-01 04:00:00+00:00,830.41,860.0,812.5456,1087885,850.77,55986317,835.241817,NVDA
2024-05-02 04:00:00+00:00,858.17,862.37,832.0,693554,844.49,37789754,849.656637,NVDA
2024-05-03 04:00:00+00:00,887.89,892.81,870.4,785566,877.89,39834072,883.897355,NVDA
2024-05-06 04:00:00+00:00,921.4,922.2,890.55,834439,893.9,37620255,913.945335,NVDA
2024-05-07 04:00:00+00:00,905.54,917.8099,890.11,835435,910.98,43734161,905.599248,NVDA
2024-05-08 04:00:00+00:00,904.12,911.94,894.2,621213,894.825,32572102,903.285384,NVDA
2024-05-09 04:00:00+00:00,887.47,910.72,882.31,715057,905.29,37801268,890.776029,NVDA
2024-05-10 04:00:00+00:00,898.78,914.01,892.27,677374,903.045,33532541,900.613719,NVDA
2024-05-13 04:00:00+00:00,903.99,909.98,885.29,623995,904.78,28968017,901.109542,NVDA
2024-05-14 04:00:00+00:00,913.56,916.51,889.34,617287,895.99,29650708,907.089948,NVDA
2024-05-15 04:00:00+00:00,946.3,948.62,915.99,909024,924.72,41773545,939.332586,NVDA
2024-05-16 04:00:00+00:00,943.59,958.1899,941.03,690246,949.1,32395182,949.503808,NVDA
2024-05-17 04:00:00+00:00,924.79,947.4,918.06,713922,943.69,35989353,931.682735,NVDA
2024-05-20 04:00:00+00:00,947.8,952.0,934.4,724694,937.5,31876446,946.954575,NVDA
2024-05-21 04:00:00+00:00,953.86,954.0,931.8,737743,935.99,32894646,945.536008,NVDA
2024-05-22 04:00:00+00:00,949.5,960.2,932.49,1385471,954.59,54865849,945.670615,NVDA
2024-05-23 04:00:00+00:00,1037.99,1063.2,1015.2,2016780,1020.28,83506528,1039.246561,NVDA
2024-05-24 04:00:00+00:00,1064.69,1064.75,1030.0,992150,1044.49,42952427,1048.721038,NVDA
2024-05-28 04:00:00+00:00,1139.01,1149.39,1098.83,1706147,1102.44,65272789,1126.828894,NVDA
2024-05-29 04:00:00+00:00,1148.25,1154.92,1109.01,1361445,1130.5,55738113,1139.047596,NVDA
2024-05-30 04:00:00+00:00,1105.0,1158.1915,1096.63,1251362,1146.5,48785033,1132.082287,NVDA
2024-05-31 04:00:00+00:00,1096.33,1127.17,1069.4,1294733,1125.2,61326250,1094.799777,NVDA
2024-06-03 04:00:00+00:00,1150.0,1150.0,1120.03,1187574,1136.21,43839176,1136.84644,NVDA
2024-06-04 04:00:00+00:00,1164.37,1166.0,1140.45,1056061,1157.16,40332401,1153.147904,NVDA
2024-06-05 04:00:00+00:00,1224.4,1224.495,1174.68,1410118,1183.71,52840178,1204.27566,NVDA
2024-06-06 04:00:00+00:00,1209.98,1255.87,1183.2,1912084,1240.48,66469619,1209.840187,NVDA
2024-06-07 04:00:00+00:00,1208.88,1216.9171,1180.22,1119491,1197.7,41238580,1200.53606,NVDA
2024-06-10 04:00:00+00:00,121.79,195.95,117.01,2798766,120.37,314162666,121.141317,NVDA
2024-06-11 04:00:00+00:00,120.91,122.87,118.74,1805422,121.77,222551158,120.809809,NVDA
2024-06-12 04:00:00+00:00,125.2,126.88,122.57,2024530,123.06,299595001,125.255691,NVDA
2024-06-13 04:00:00+00:00,129.61,129.8,127.16,1895034,129.39,260704537,128.824971,NVDA
2024-06-14 04:00:00+00:00,131.88,132.84,128.32,2139338,129.96,309320376,131.229466,NVDA
2024-06-17 04:00:00+00:00,130.98,133.73,129.58,2129586,132.99,288504444,131.68857,NVDA
2024-06-18 04:00:00+00:00,135.58,136.33,130.69,2094327,131.14,294335054,134.335339,NVDA
2024-06-20 04:00:00+00:00,130.78,140.76,129.52,4054160,139.8,517768425,134.930597,NVDA
2024-06-21 04:00:00+00:00,126.57,130.63,124.3,3275090,127.12,655484664,126.998057,NVDA
2024-06-24 04:00:00+00:00,118.11,124.46,118.04,3695132,123.24,476060866,120.415972,NVDA
2024-06-25 04:00:00+00:00,126.09,126.5,119.32,2612448,121.2,425787456,123.691199,NVDA
2024-06-26 04:00:00+00:00,126.4,128.12,122.6,2344732,126.13,362975918,124.920025,NVDA
2024-06-27 04:00:00+00:00,123.99,126.41,122.92,1568643,124.1,252571693,124.276153,NVDA
2024-06-28 04:00:00+00:00,123.54,127.71,122.75,1763471,124.58,315070807,124.833696,NVDA
2024-07-01 04:00:00+00:00,124.3,124.84,118.83,1916767,123.47,284885534,122.682568,NVDA
2024-07-02 04:00:00+00:00,122.67,123.41,121.03,1485578,121.13,218373969,122.253548,NVDA
2024-07-03 04:00:00+00:00,128.28,128.28,121.36,1539314,121.66,215748955,125.247746,NVDA
2024-07-05 04:00:00+00:00,125.83,128.85,125.68,1599103,127.38,214176689,127.029429,NVDA
2024-07-08 04:00:00+00:00,128.2,130.77,127.04,1727969,127.49,237677322,128.659791,NVDA
2024-07-09 04:00:00+00:00,131.38,133.82,128.65,1935856,130.35,287020820,131.405646,NVDA
2024-07-10 04:00:00+00:00,134.91,135.1,132.42,1721405,134.03,248978569,134.200559,NVDA
2024-07-11 04:00:00+00:00,127.4,136.15,127.05,3011881,135.75,374782738,129.970543,NVDA
2024-07-12 04:00:00+00:00,129.24,131.92,127.22,1739258,128.26,252680535,130.001596,NVDA
2024-07-15 04:00:00+00:00,128.44,131.39,127.18,1685022,130.56,208326164,128.800668,NVDA
2024-07-16 04:00:00+00:00,126.36,129.04,124.58,1644381,128.44,214769515,126.268287,NVDA
2024-07-17 04:00:00+00:00,117.99,121.85,116.72,3385334,121.35,390086189,118.909887,NVDA
2024-07-18 04:00:00+00:00,121.09,122.4,116.56,2406040,121.85,320979530,119.733566,NVDA
2024-07-19 04:00:00+00:00,117.93,121.6,117.37,1613498,120.35,217223800,118.992652,NVDA
2024-07-22 04:00:00+00:00,123.54,124.07,119.86,1720699,120.35,258068943,122.448975,NVDA
2024-07-23 04:00:00+00:00,122.59,124.69,122.1,1308702,122.78,173910983,123.277787,NVDA
2024-07-24 04:00:00+00:00,114.25,119.95,113.44,2515415,119.17,327776884,116.337869,NVDA
2024-07-25 04:00:00+00:00,112.28,116.63,106.3,3637632,113.04,460067019,112.752576,NVDA
2024-07-26 04:00:00+00:00,113.06,116.2,111.58,1840632,116.19,293399073,113.468474,NVDA
2024-07-29 04:00:00+00:00,111.59,116.28,111.3,1626151,113.69,248152068,113.176663,NVDA
