Date,close,high,low,trade_count,open,volume,vwap,symbol
2024-04-22 04:00:00+00:00,418.82,421.18,413.94,413284,417.31,47807663,417.49144,QQQ
2024-04-23 04:00:00+00:00,425.07,426.28,418.8715,390462,420.77,44389491,423.911002,QQQ
2024-04-24 04:00:00+00:00,426.51,429.73,424.2,419307,428.2,48440305,426.827097,QQQ
2024-04-25 04:00:00+00:00,424.45,425.32,418.14,522314,419.24,57392169,421.599482,QQQ
2024-04-26 04:00:00+00:00,431.0,432.55,426.92,366571,427.62,41874907,430.604214,QQQ
2024-04-29 04:00:00+00:00,432.75,433.76,429.98,318659,433.13,30022161,432.110547,QQQ
2024-04-30 04:00:00+00:00,424.59,432.56,424.51,376214,431.15,43665934,428.311629,QQQ
2024-05-01 04:00:00+00:00,421.52,430.14,420.66,551541,423.15,52252482,424.136287,QQQ
2024-05-02 04:00:00+00:00,426.9,427.81,420.63,362715,425.3,36559007,424.880126,QQQ
2024-05-03 04:00:00+00:00,435.48,436.48,432.62,418499,434.44,48515252,434.808115,QQQ
2024-05-06 04:00:00+00:00,440.25,440.34,436.52,312634,437.3,30227200,438.425146,QQQ
2024-05-07 04:00:00+00:00,440.32,441.97,439.58,286481,440.7,31688094,440.815977,QQQ
2024-05-08 04:00:00+00:00,440.06,441.48,437.55,256627,437.67,24896723,439.80314,QQQ
2024-05-09 04:00:00+00:00,441.02,441.6,438.46,252799,440.33,24580121,440.508161,QQQ
2024-05-10 04:00:00+00:00,442.06,444.31,440.499,266215,442.54,27116566,442.073133,QQQ
2024-05-13 04:00:00+00:00,443.08,444.09,441.65,216525,443.99,23000792,442.92486,QQQ
2024-05-14 04:00:00+00:00,445.93,446.465,442.46,312865,442.65,34478321,444.506711,QQQ
2024-05-15 04:00:00+00:00,452.9,453.15,446.9,391235,448.43,41464651,450.921732,QQQ
2024-05-16 04:00:00+00:00,451.98,454.69,451.81,303661,452.71,34780412,453.180443,QQQ
2024-05-17 04:00:00+00:00,451.76,452.72,449.5399,270369,452.11,35803719,451.569816,QQQ
2024-05-20 04:00:00+00:00,454.91,455.58,451.785,239819,451.98,24478626,454.389646,QQQ
2024-05-21 04:00:00+00:00,455.8,455.99,452.84,196904,453.04,23167720,454.658099,QQQ
2024-05-22 04:00:00+00:00,455.71,456.82,453.08,227401,456.06,25120040,455.304187,QQQ
2024-05-23 04:00:00+00:00,453.66,460.58,451.8503,328503,460.55,40899230,456.328822,QQQ
2024-05-24 04:00:00+00:00,457.95,459.23,453.5674,239541,455.29,29670361,457.398922,QQQ
2024-05-28 04:00:00+00:00,459.68,459.74,456.69,251918,459.18,26216815,458.517569,QQQ
