Date,Symbol,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Trade_Count
2025-04-23,MSFT,0.01861255910805748,9.266826488318225,0.14686038847490998,62.96338028479325,-0.030539369999999844,0.4262295081967213,17.899703846153827,-14.273900000000062,1.2540163407445581,121
2025-04-24,MSFT,0.024282288421838327,6.532686350004334,0.109295201276237,59.5880356498353,-0.030539369999999844,0.43373493975903615,18.218861111111135,-13.896936170212824,1.3109984019471914,164
2025-04-25,MSFT,0.013113211017682147,1.298315239591751,0.1748874670958938,7.309358759772241,-0.030539369999999844,0.411214953271028,16.47616136363639,-12.618303174603243,1.3057351004846536,213
2025-04-28,MSFT,0.006212694679949449,0.38174822104399,0.16763003767504175,2.1580155088031114,-0.0318863927638261,0.384,16.549814583333347,-11.809406493506543,1.401409511344481,251
2025-04-29,MSFT,0.007985863467538934,0.4097467212563499,0.14996489775195446,2.5989196611929835,-0.0318863927638261,0.3741496598639456,16.217932727272736,-10.819281521739146,1.498984262003544,297
2025-04-30,MSFT,0.07548864963209989,13.746129526160496,0.4167524424210208,32.935930612480455,-0.040471651415874055,0.36257309941520466,24.757611290322604,-10.998439449541324,2.2510112824556296,344
2025-05-01,MSFT,0.07043182584055341,8.110263169361147,0.39544640686126153,20.458557794405593,-0.040471651415874055,0.355,23.389125352112696,-10.522575968992298,2.2227566159688723,394
2025-05-02,MSFT,0.07790414979590254,7.660156899000018,0.37003232483442877,20.647268863385413,-0.040471651415874055,0.3542600896860987,23.156970886075964,-10.26062986111115,2.2568761566815,436
2025-05-05,MSFT,0.0878863332296933,7.803601511850555,0.34888543638508834,22.30990663439236,-0.040471651415874055,0.3598326359832636,22.872063953488375,-10.131573202614419,2.2575036962262005,468
2025-05-06,MSFT,0.07882513602315888,4.982269520461316,0.3408345805930333,14.559172698460475,-0.040471651415874055,0.34444444444444444,22.281796774193545,-9.685538418079132,2.3005222644723706,526
2025-05-07,MSFT,0.07018364118486176,3.3624820823703763,0.3322907039173585,10.058909391584002,-0.040471651415874055,0.33217993079584773,22.187757291666657,-9.473705181347194,2.3420358631543863,567
2025-05-08,MSFT,0.08454454834196135,4.046156634561541,0.31987901798651525,12.586498045118006,-0.040471651415874055,0.33653846153846156,21.83318761904761,-9.166073429951739,2.3819564381520086,610
2025-05-09,MSFT,0.07603069352058545,2.9073255982139807,0.3132560132518459,9.217143410085734,-0.040471651415874055,0.32432432432432434,21.53030185185184,-8.824894222222278,2.4397235037260416,651
2025-05-12,MSFT,0.0932973423262844,3.6660277385727618,0.3049856254890933,11.954752728840162,-0.040471651415874055,0.3248587570621469,22.26763999999999,-8.8229255230126,2.5238386000108357,693
2025-05-13,MSFT,0.09214457374607732,3.169523758415319,0.2960208314989208,10.639534192467131,-0.040471651415874055,0.32620320855614976,21.667976229508195,-8.7257924603175,2.483210129973659,732
2025-05-14,MSFT,0.10560759304981593,3.598505005552128,0.28776056921185145,12.435703110239562,-0.040471651415874055,0.33248081841432225,21.355335384615387,-8.597466283524955,2.483910338274652,765
2025-05-15,MSFT,0.09146797875805324,2.5364467252378415,0.28795133043476473,8.739139081032798,-0.040471651415874055,0.3300970873786408,20.69545294117648,-8.602875724637736,2.4056436014653646,807
2025-05-16,MSFT,0.08299383962477247,1.9870672639975129,0.28368788117394983,6.933913623160236,-0.040471651415874055,0.33488372093023255,19.96654930555555,-8.706897552447607,2.293187577467559,844
